Ballot Order,Category,Mainstream Pick,Mainstream %,With Polymarket Pick,With Polymarket %,Market Leader,Closest Challenger,Helpful Inputs,Why,Nominees
1,Actor in a Leading Role,Michael B. Jordan - Sinners,56,Michael B. Jordan - Sinners,55,Michael B. Jordan - 53%,Timothée Chalamet - Marty Supreme,Vanity Fair; Variety snippet; Deadline snippet; Actor Awards; Golden Globes; Critics Choice,"Variety's top-line forecast and Vanity Fair both land on Michael B. Jordan, while Deadline's indexed snippet tied the race to his late-run wins. Timothée Chalamet is still live because he took both the Globe and Critics Choice.",Timothée Chalamet - Marty Supreme | Leonardo DiCaprio - One Battle after Another | Ethan Hawke - Blue Moon | Michael B. Jordan - Sinners | Wagner Moura - The Secret Agent
2,Actor in a Supporting Role,Sean Penn - One Battle after Another,68,Sean Penn - One Battle after Another,69,Sean Penn - 72%,Stellan Skarsgård - Sentimental Value / Delroy Lindo - Sinners,Vanity Fair; New Yorker; Deadline snippet; BAFTA; Polymarket,"Sean Penn is the cleanest consensus across the mainstream prediction pieces I could verify, and BAFTA also went his way. Delroy Lindo is the upside upset if Sinners starts running hot all night.",Benicio Del Toro - One Battle after Another | Jacob Elordi - Frankenstein | Delroy Lindo - Sinners | Sean Penn - One Battle after Another | Stellan Skarsgård - Sentimental Value
3,Actress in a Leading Role,Jessie Buckley - Hamnet,96,Jessie Buckley - Hamnet,96,Jessie Buckley - 97%,Rose Byrne - If I Had Legs I'd Kick You,Vanity Fair; New Yorker; NYT The Daily transcript; Golden Globes; Critics Choice; BAFTA,"This is the closest thing to a free square. Vanity Fair and The New Yorker both call it the easiest acting race, and the New York Times Daily transcript frames Buckley as the consensus winner. She also has Globe, Critics Choice, and BAFTA support.",Jessie Buckley - Hamnet | Rose Byrne - If I Had Legs I'd Kick You | Kate Hudson - Song Sung Blue | Renate Reinsve - Sentimental Value | Emma Stone - Bugonia
4,Actress in a Supporting Role,Amy Madigan - Weapons,39,Amy Madigan - Weapons,43,Amy Madigan - 52%,Teyana Taylor - One Battle after Another,Vanity Fair; New Yorker; Critics Choice; Actor Awards; Golden Globes; BAFTA; Polymarket,"This is the messiest major-category call. Amy Madigan won Critics Choice and the Actor Awards, Teyana Taylor won the Globe and gets Vanity Fair's nod, and Wunmi Mosaku took BAFTA. I still lean Amy because the late industry prizes matter most, but this is absolutely the ballot's biggest sweat.",Elle Fanning - Sentimental Value | Inga Ibsdotter Lilleaas - Sentimental Value | Amy Madigan - Weapons | Wunmi Mosaku - Sinners | Teyana Taylor - One Battle after Another
5,Animated Feature Film,KPop Demon Hunters,93,KPop Demon Hunters,93,KPop Demon Hunters - 93%,Zootopia 2,Vanity Fair; Annie Awards; Golden Globes; Polymarket,"KPop Demon Hunters has the strongest animation-season profile by far: Annie sweep, Globe win, and a Vanity Fair prediction. The market agrees it's basically the field's animation lock.",Arco | Elio | KPop Demon Hunters | Little Amélie or the Character of Rain | Zootopia 2
6,Animated Short Film,Butterfly,49,Butterfly,50,Butterfly - 52%,The Girl Who Cried Pearls,Vanity Fair; Polymarket,"Vanity Fair and Polymarket both edge toward Butterfly, but short categories are chaotic by nature, so I would not overstate confidence here.",Butterfly | Forevergreen | The Girl Who Cried Pearls | Retirement Plan | The Three Sisters
7,Casting,Sinners,76,Sinners,77,Sinners - 79%,One Battle after Another,Vanity Fair; Artios; Polymarket,"Since this is the first year for casting, I leaned heavily on the Artios result and the overall broad-ensemble read. Sinners fits both and gets Vanity Fair's vote.",Hamnet | Marty Supreme | One Battle after Another | The Secret Agent | Sinners
8,Cinematography,One Battle after Another,68,One Battle after Another,70,One Battle after Another - 74%,Sinners,Vanity Fair; BAFTA; ASC; Polymarket,"Vanity Fair flagged this as neck-and-neck, but the late precursors broke toward One Battle after Another: BAFTA cinematography and ASC both went there. That's enough to override earlier Sinners momentum.",Frankenstein | Marty Supreme | One Battle after Another | Sinners | Train Dreams
9,Best Picture,One Battle after Another,63,One Battle after Another,67,One Battle after Another - 76%,Sinners,Vanity Fair; New Yorker; Variety snippet; Deadline snippet; PGA; DGA; BAFTA; Actor Awards; Polymarket,"This is the night's central fight. One Battle after Another has PGA, DGA, BAFTA Best Film, and both Vanity Fair and The New Yorker leaning its way. Sinners has the stronger passion narrative and the Actor Awards ensemble win, so I would keep it as the only serious upset path.",Bugonia | F1 | Frankenstein | Hamnet | Marty Supreme | One Battle after Another | The Secret Agent | Sentimental Value | Sinners | Train Dreams
10,Costume Design,Frankenstein,89,Frankenstein,90,Frankenstein - 91%,Sinners,Vanity Fair; BAFTA; Polymarket,Frankenstein dominated the major costume indicators and gets Vanity Fair's pick as well. This is one of the sturdier craft calls on the board.,Avatar: Fire and Ash | Frankenstein | Hamnet | Marty Supreme | Sinners
